colPK,pos_x,pos_y,win,currentGold,goldEarned,neutralMinionsKilled
1,561,581,0,500,500,0
2,8382,8130,0,1292,15712,8
3,8766,8650,0,269,16888,8
4,13691,7628,0,476,17596,8
5,12883,3113,0,377,877,0
6,8437,13413,0,1041,18161,8
7,394,461,0,2028,18378,8
8,8724,8328,0,245,18595,8
9,6041,6337,0,461,18811,8
10,4708,9904,0,1303,19653,12
11,7464,7605,0,1019,19869,12
12,471,324,0,41,20491,16
13,5404,9553,0,1016,21466,16
14,9888,10190,0,1651,22101,16
15,8612,8935,0,738,22318,16
16,10513,2463,0,327,1227,0
17,7773,7498,0,1525,23306,16
18,2589,4830,0,1355,23636,16
19,4720,9926,0,1959,24240,16
20,0,0,0,-1030,24370,16
21,12753,1837,0,1566,2466,0
22,13739,4265,0,1436,3936,0
23,13390,3522,0,1915,4415,0
24,1101,704,0,397,5997,0
25,3592,13492,0,849,6849,0
26,6238,13600,0,16,8116,0
27,12536,1805,0,0,500,0
28,5998,5954,0,332,8432,0
29,9866,4164,0,2317,10417,0
30,11007,4781,0,286,10985,4
31,4704,9426,0,1317,12016,8
32,8113,13682,0,2722,13421,8
33,1683,11430,0,3608,14308,8
34,1308,11300,0,105,14525,8
35,561,361,0,500,500,0
36,6576,6444,0,300,7680,0
37,1997,1470,0,232,8411,0
38,10499,8849,0,1092,9272,4
39,13533,3317,0,635,1135,0
40,10090,4699,0,1854,10034,4
41,7621,5953,0,102,10282,8
42,8620,9891,0,444,11024,8
43,7039,5034,0,927,11506,12
44,4735,9827,0,643,12022,12
45,7667,7460,0,350,12329,16
46,979,1278,0,70,12699,20
47,5829,5927,0,551,13181,24
48,10634,11050,0,1175,13805,24
49,10634,11050,0,291,14021,24
50,10448,1396,0,157,1357,0
51,9562,9140,0,815,14895,24
52,454,350,0,1031,15111,24
53,4760,9894,0,398,15328,24
54,0,0,0,-93,15457,24
55,11906,2430,0,130,2030,0
56,13824,4231,0,850,2750,0
