@relation 'participant_frames-weka.filters.unsupervised.attribute.Remove-R11,14-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.NumericToNominal-R13'

@attribute pos_x numeric
@attribute pos_y numeric
@attribute win {0,1}
@attribute creepScore numeric
@attribute currentGold numeric
@attribute dominionScore numeric
@attribute experience numeric
@attribute goldEarned numeric
@attribute level numeric
@attribute neutralMinionsKilled numeric
@attribute teamScore numeric
@attribute timestamp numeric
@attribute match_id {2756265176,2757139247,2757164302,2757334493,2757344038,2757414373,2757417224,2757609008,2757642400,2758041096,2758738837,2759000499,2759024018,2759132098,2759257697,2759613856,2760780298,2760805828,2760983874,2761203040,2761508815,2761535163,2761581064,2762055944,2762618574,2762672413,2762809550,2762963668,2762970456,2763075278,2763080214,2763103230,2763311679,2763479458,2763723582,2763729769,2764594237,2764635104,2765037739,2765041388,2765190575,2765204302,2765274654,2766198879,2766200653,2766207237,2766245793,2766277226,2766317613,2766512763,2766636847,2766642876,2766660805,2767165103,2767223252,2767314058,2767661638,2767929394,2767953131,2768692833,2768712962,2768730195,2768840944,2768846775,2769543405,2769947436,2773183952,2773245307,2773281606,2773350542,2773785286,2773796546,2774329014,2774345053,2774503426,2775672587,2776231566,2776236159,2776372004,2776479368,2776625098,2777096611,2777113081,2777223671,2777227606,2779807654,2780058562,2780207203,2780486208,2780499000,2780514036,2781020595,2781047893,2781080620,2781359891,2781861999,2781987720,2782092079,2782971556,2842707542}

@data
1102,1180,0,0,1400,0,660,1400,1,0,0,0,2842707542
1102,960,0,0,1400,0,660,1400,1,0,0,0,2842707542
893,892,0,0,1400,0,660,1400,1,0,0,0,2842707542
763,1070,0,0,1400,0,660,1400,1,0,0,0,2842707542
853,1248,0,0,1400,0,660,1400,1,0,0,0,2842707542
12006,11716,1,0,1400,0,660,1400,1,0,0,0,2842707542
12006,11496,1,0,1400,0,660,1400,1,0,0,0,2842707542
11797,11428,1,0,1400,0,660,1400,1,0,0,0,2842707542
11667,11606,1,0,1400,0,660,1400,1,0,0,0,2842707542
5699,5685,0,0,0,0,957,1400,3,0,0,60.015,2842707542
5956,5576,0,0,15,0,957,1400,3,0,0,60.015,2842707542
5883,5326,0,0,0,0,957,1400,3,0,0,60.015,2842707542
5255,6165,0,0,0,0,957,1400,3,0,0,60.015,2842707542
5233,5042,0,0,0,0,957,1400,3,0,0,60.015,2842707542
7268,7046,1,0,25,0,957,1400,3,0,0,60.015,2842707542
7197,6766,1,0,0,0,957,1400,3,0,0,60.015,2842707542
7054,6511,1,0,0,0,957,1400,3,0,0,60.015,2842707542
6981,6893,1,0,0,0,957,1400,3,0,0,60.015,2842707542
6062,6321,0,3,436,0,1442,1836,4,0,0,120.044,2842707542
5922,6161,0,2,446,0,1461,1831,4,0,0,120.044,2842707542
5722,6267,0,0,407,0,1461,1807,4,0,0,120.044,2842707542
6389,5725,0,0,407,0,1461,1807,4,0,0,120.044,2842707542
6280,5497,0,3,442,0,1440,1842,4,0,0,120.044,2842707542
6813,6739,1,3,466,0,1444,1841,4,0,0,120.044,2842707542
6996,6574,1,4,484,0,1444,1884,4,0,0,120.044,2842707542
6896,7263,1,2,426,0,1444,1826,4,0,0,120.044,2842707542
7323,6336,1,0,402,0,1444,1802,4,0,0,120.044,2842707542
6193,5187,0,3,366,0,1858,2201,5,0,0,180.073,2842707542
5514,4885,0,4,878,0,2007,2263,5,0,0,180.073,2842707542
4768,5391,0,3,838,0,1978,2238,5,0,0,180.073,2842707542
1496,1442,0,1,27,0,1940,2227,5,0,0,180.073,2842707542
5229,4595,0,7,895,0,1957,2295,5,0,0,180.073,2842707542
5654,6084,1,11,1165,0,2106,2540,5,0,0,180.073,2842707542
6593,6210,1,6,973,0,2106,2373,5,0,0,180.073,2842707542
6279,6893,1,3,884,0,2050,2284,5,0,0,180.073,2842707542
6708,6226,1,1,853,0,2106,2253,5,0,0,180.073,2842707542
7105,6815,0,9,1248,0,3078,3083,6,0,0,240.083,2842707542
6314,6504,0,6,1600,0,2892,2985,6,0,0,240.083,2842707542
6623,6300,0,4,179,0,2676,2729,6,0,0,240.083,2842707542
7037,6255,0,2,614,0,2665,2814,6,0,0,240.083,2842707542
7242,6180,0,11,1564,0,2765,2964,6,0,0,240.083,2842707542
7356,6735,1,19,475,0,2804,3150,6,0,0,240.083,2842707542
8036,8656,1,6,353,0,2627,2753,6,0,0,240.083,2842707542
7705,7432,1,5,1356,0,2730,2756,6,0,0,240.083,2842707542
7192,7091,1,1,128,0,2691,2778,6,0,0,240.083,2842707542
3335,2723,0,10,185,0,3569,3620,7,0,0,300.116,2842707542
3629,4056,0,7,51,0,3485,3351,7,0,0,300.116,2842707542
5196,5273,0,7,361,0,3364,3211,7,0,0,300.116,2842707542
4844,4779,0,3,1176,0,3452,3376,7,0,0,300.116,2842707542
5001,4330,0,13,560,0,3424,3460,7,0,0,300.116,2842707542
8780,9246,1,25,557,0,3829,3732,7,0,0,300.116,2842707542
5860,5563,1,16,1266,0,3637,3666,7,0,0,300.116,2842707542
5823,5880,1,6,916,0,3429,3216,7,0,0,300.116,2842707542
5882,5152,1,3,883,0,3869,3533,7,0,0,300.116,2842707542
4930,4420,0,13,635,0,4173,4070,8,0,0,360.145,2842707542
5101,4854,0,13,580,0,4489,3880,8,0,0,360.145,2842707542
5316,5538,0,9,822,0,4030,4172,7,0,0,360.145,2842707542
5548,4845,0,5,460,0,4120,3810,8,0,0,360.145,2842707542
4813,4697,0,14,378,0,4033,3878,7,0,0,360.145,2842707542
5902,5836,1,30,1195,0,4747,4370,8,0,0,360.145,2842707542
6269,5857,1,17,1713,0,4588,4113,8,0,0,360.145,2842707542
5798,6225,1,8,1417,0,4262,3717,8,0,0,360.145,2842707542
6542,5828,1,3,1763,0,4820,4413,8,0,0,360.145,2842707542
5866,5011,0,15,1279,0,5209,4714,9,0,0,420.153,2842707542
5422,5176,0,13,1100,0,5525,4400,9,0,0,420.153,2842707542
7770,6756,0,15,2451,0,5036,5801,8,0,0,420.153,2842707542
5082,5950,0,5,350,0,4632,4185,8,0,0,420.153,2842707542
5332,5332,0,20,948,0,5069,4448,9,0,0,420.153,2842707542
6198,6196,1,34,324,0,5636,4849,9,0,0,420.153,2842707542
6745,6163,1,21,649,0,5350,4599,9,0,0,420.153,2842707542
6383,6639,1,14,186,0,4989,4186,8,0,0,420.153,2842707542
6954,5922,1,4,348,0,5516,4848,9,0,0,420.153,2842707542
5462,5609,0,21,1764,0,6116,5199,9,0,0,480.182,2842707542
4647,4658,0,18,1665,0,6510,4965,10,0,0,480.182,2842707542
5168,4857,0,17,799,0,5859,6549,9,0,0,480.182,2842707542
1376,1420,0,5,749,0,5262,4584,9,0,0,480.182,2842707542
4985,5813,0,22,121,0,5827,4921,9,0,0,480.182,2842707542
5523,5518,1,44,1094,0,6589,5619,10,0,0,480.182,2842707542
5585,5115,1,23,1262,0,6303,5212,10,0,0,480.182,2842707542
10267,10690,1,14,136,0,5517,4586,9,0,0,480.182,2842707542
5044,4838,1,4,943,0,6468,5443,10,0,0,480.182,2842707542
6936,6694,0,22,333,0,7288,5638,10,0,0,540.213,2842707542
7792,6912,0,18,309,0,7837,5544,11,0,0,540.213,2842707542
8673,7877,0,18,413,0,6940,7363,10,0,0,540.213,2842707542
8864,7775,0,8,1433,0,6951,5268,10,0,0,540.213,2842707542
7511,7209,0,28,1367,0,7244,6167,10,0,0,540.213,2842707542
8157,7789,1,45,445,0,7706,6270,11,0,0,540.213,2842707542
8982,8240,1,26,512,0,7420,5747,11,0,0,540.213,2842707542
7004,7664,1,18,624,0,6517,5074,10,0,0,540.213,2842707542
8570,7737,1,5,429,0,7594,6679,11,0,0,540.213,2842707542
6315,6223,0,24,151,0,8245,6206,11,0,0,600.23,2842707542
6558,6742,0,22,806,0,8983,6041,12,0,0,600.23,2842707542
7145,6580,0,19,764,0,7394,7714,11,0,0,600.23,2842707542
7227,6903,0,10,777,0,7578,5812,11,0,0,600.23,2842707542
6846,6126,0,32,1984,0,8410,6784,11,0,0,600.23,2842707542
6301,6294,1,55,1045,0,8798,6870,12,0,0,600.23,2842707542
7871,6984,1,26,496,0,8071,6131,11,0,0,600.23,2842707542
7964,7311,1,19,354,0,7190,5474,10,0,0,600.23,2842707542
7929,7446,1,5,1125,0,8781,7375,12,0,0,600.23,2842707542
7367,6686,0,27,562,0,8803,6617,12,0,0,660.258,2842707542
6424,6508,0,27,1835,0,10223,7070,13,0,0,660.258,2842707542
6696,7090,0,19,266,0,7969,8091,11,0,0,660.258,2842707542
6805,6966,0,13,1315,0,8857,6350,12,0,0,660.258,2842707542
6739,6238,0,32,439,0,9100,7314,12,0,0,660.258,2842707542
7480,7410,1,63,523,0,9607,7378,12,0,0,660.258,2842707542
8044,7376,1,26,861,0,8778,6496,12,0,0,660.258,2842707542
8279,7604,1,20,776,0,8448,5896,11,0,0,660.258,2842707542
8147,7467,1,5,340,0,9513,8275,12,0,0,660.258,2842707542
1142,1214,0,27,1137,0,9847,7192,12,0,0,720.291,2842707542
8239,7788,0,30,2565,0,11913,7800,14,0,0,720.291,2842707542
3395,3259,0,23,349,0,9040,9074,12,0,0,720.291,2842707542
6740,6520,0,13,565,0,10004,7115,13,0,0,720.291,2842707542
8940,7852,0,43,1396,0,10872,8271,13,0,0,720.291,2842707542
11103,11187,1,66,216,0,10425,7871,13,0,0,720.291,2842707542
11749,11419,1,26,373,0,9620,6923,12,0,0,720.291,2842707542
8524,7729,1,20,499,0,9393,6319,12,0,0,720.291,2842707542
9236,8384,1,5,1355,0,10791,9290,13,0,0,720.291,2842707542
4402,3714,0,30,447,0,10985,7682,13,0,0,780.323,2842707542
4361,3860,0,30,1115,0,12924,8265,14,0,0,780.323,2842707542
4836,4737,0,24,914,0,9680,9639,12,0,0,780.323,2842707542
5197,5680,0,16,540,0,10764,7525,13,0,0,780.323,2842707542
4372,4078,0,43,1241,0,12185,9416,14,0,0,780.323,2842707542
4603,4734,1,75,1327,0,12776,8982,14,0,0,780.323,2842707542
5240,4748,1,32,1459,0,11960,8009,14,0,0,780.323,2842707542
7094,6400,1,20,1104,0,10488,6924,13,0,0,780.323,2842707542
4933,4471,1,5,970,0,11508,9970,14,0,0,780.323,2842707542
7397,7375,0,31,254,0,11909,8154,14,0,0,840.353,2842707542
1050,1049,0,30,605,0,14320,9005,15,0,0,840.353,2842707542
7264,7756,0,30,1785,0,11727,10510,14,0,0,840.353,2842707542
3457,3618,0,16,625,0,11882,8360,14,0,0,840.353,2842707542
7771,7110,0,50,711,0,13957,10111,15,0,0,840.353,2842707542
8720,8795,1,76,282,0,13463,9387,15,0,0,840.353,2842707542
4383,3736,1,39,1074,0,13292,8874,15,0,0,840.353,2842707542
3947,4858,1,22,415,0,11863,7395,14,0,0,840.353,2842707542
4423,4473,1,5,63,0,12886,10563,14,0,0,840.353,2842707542
7577,7680,0,31,46,0,12825,8546,14,0,0,900.365,2842707542
5283,5647,0,32,1075,0,15114,9475,16,0,0,900.365,2842707542
6826,7580,0,33,977,0,12446,10942,14,0,0,900.365,2842707542
6743,5952,0,20,774,0,13005,8959,14,0,0,900.365,2842707542
5602,5537,0,54,1346,0,15084,10746,16,0,0,900.365,2842707542
5922,5891,1,87,1263,0,15572,10368,16,0,0,900.365,2842707542
5912,5293,1,44,459,0,14643,9509,15,0,0,900.365,2842707542
7179,6768,1,22,485,0,12677,7900,14,0,0,900.365,2842707542
6465,6100,1,5,605,0,14283,11105,15,0,0,900.365,2842707542
5603,5779,0,38,868,0,14717,9368,16,0,0,960.393,2842707542
5213,4764,0,36,428,0,15985,9928,16,0,0,960.393,2842707542
2487,3390,0,33,42,0,13862,11682,15,0,0,960.393,2842707542
5135,5340,0,20,464,0,13580,9314,15,0,0,960.393,2842707542
5210,4652,0,55,523,0,16404,11223,16,0,0,960.393,2842707542
8838,9308,1,90,1324,0,16630,10979,17,0,0,960.393,2842707542
11860,11596,1,47,935,0,15723,9985,16,0,0,960.393,2842707542
6351,5986,1,23,591,0,13924,8621,15,0,0,960.393,2842707542
6319,5811,1,5,1165,0,15371,11665,16,0,0,960.393,2842707542
7427,6801,0,38,373,0,15669,9773,16,0,0,1020.402,2842707542
6811,6220,0,38,994,0,18049,10494,17,0,0,1020.402,2842707542
6415,6430,0,36,574,0,15391,12484,16,0,0,1020.402,2842707542
3957,4610,0,20,221,0,14090,9671,15,0,0,1020.402,2842707542
6348,5577,0,68,1419,0,18354,12119,17,0,0,1020.402,2842707542
5992,6548,1,92,458,0,17921,11613,17,0,0,1020.402,2842707542
8313,8249,1,48,192,0,16134,10342,16,0,0,1020.402,2842707542
7678,7762,1,24,188,0,14651,9018,15,0,0,1020.402,2842707542
6935,7275,1,5,275,0,16027,12025,16,0,0,1020.402,2842707542
9147,9115,0,44,1132,0,17584,10532,17,0,0,1080.42,2842707542
10361,8605,0,39,1828,0,19796,11328,18,0,0,1080.42,2842707542
10515,8917,0,40,1187,0,16086,13097,16,0,0,1080.42,2842707542
9557,8486,0,22,1082,0,16243,10532,16,0,0,1080.42,2842707542
10416,9114,0,70,253,0,20045,13053,18,0,0,1080.42,2842707542
8693,9049,1,96,872,0,18758,12027,18,0,0,1080.42,2842707542
10216,9409,1,53,322,0,17033,10772,17,0,0,1080.42,2842707542
10295,8809,1,24,613,0,16095,9443,16,0,0,1080.42,2842707542
10716,9354,1,5,1230,0,17238,12980,17,0,0,1080.42,2842707542
4343,4113,0,44,268,0,18329,10918,17,0,0,1140.45,2842707542
4377,4176,0,43,477,0,21002,11877,18,0,0,1140.45,2842707542
3919,4504,0,41,469,0,17774,14059,17,0,0,1140.45,2842707542
2597,2438,0,22,39,0,17380,11359,17,0,0,1140.45,2842707542
5081,4533,0,71,285,0,20911,13435,18,0,0,1140.45,2842707542
5383,5708,1,98,666,0,20169,12621,18,0,0,1140.45,2842707542
6312,5938,1,67,1326,0,19535,11776,18,0,0,1140.45,2842707542
6018,6538,1,24,536,0,17157,10016,17,0,0,1140.45,2842707542
11156,10422,1,6,694,0,18608,13694,18,0,0,1140.45,2842707542
7227,6877,0,46,794,0,20175,11444,18,0,0,1200.458,2842707542
7978,7362,0,44,1227,0,23605,12627,18,0,0,1200.458,2842707542
3893,3668,0,47,588,0,18348,14508,17,0,0,1200.458,2842707542
7692,7820,0,22,794,0,19709,12114,18,0,0,1200.458,2842707542
8202,7493,0,81,1293,0,23103,14443,18,0,0,1200.458,2842707542
7703,7313,1,99,1196,0,21241,13151,18,0,0,1200.458,2842707542
8106,7324,1,68,177,0,20608,12267,18,0,0,1200.458,2842707542
7089,6359,1,28,1001,0,18579,10481,18,0,0,1200.458,2842707542
7753,8581,1,7,172,0,19979,14272,18,0,0,1200.458,2842707542
4292,4293,0,49,285,0,20836,11830,18,0,0,1260.488,2842707542
2191,1765,0,45,249,0,24799,13049,18,0,0,1260.488,2842707542
9430,10147,0,48,405,0,19199,14925,18,0,0,1260.488,2842707542
8871,8930,0,26,682,0,21124,12702,18,0,0,1260.488,2842707542
3801,3428,0,81,673,0,23403,14773,18,0,0,1260.488,2842707542
4536,4859,1,115,1137,0,23328,13992,18,0,0,1260.488,2842707542
4134,4353,1,72,1372,0,22694,13462,18,0,0,1260.488,2842707542
9284,9712,1,28,251,0,20034,11016,18,0,0,1260.488,2842707542
5098,4550,1,7,562,0,21425,14662,18,0,0,1260.488,2842707542
4110,3560,0,49,452,0,21713,12497,18,0,0,1320.495,2842707542
5664,5385,0,50,767,0,26801,13567,18,0,0,1320.495,2842707542
4367,3720,0,48,930,0,20004,15450,18,0,0,1320.495,2842707542
5566,5919,0,26,1087,0,22291,13107,18,0,0,1320.495,2842707542
6136,5542,0,90,1387,0,25182,15487,18,0,0,1320.495,2842707542
6887,6650,1,126,1967,0,25282,14822,18,0,0,1320.495,2842707542
7317,7122,1,76,500,0,23515,13940,18,0,0,1320.495,2842707542
6801,6070,1,28,621,0,20769,11386,18,0,0,1320.495,2842707542
4422,3763,1,7,403,0,22846,15103,18,0,0,1320.495,2842707542
1419,1570,0,49,849,0,22706,12894,18,0,0,1380.507,2842707542
6710,5888,0,53,161,0,28253,14011,18,0,0,1380.507,2842707542
4733,3995,0,50,1533,0,20905,16053,18,0,0,1380.507,2842707542
6265,5526,0,26,147,0,23284,13797,18,0,0,1380.507,2842707542
6041,5115,0,92,1814,0,26280,15914,18,0,0,1380.507,2842707542
2543,2987,1,138,3031,0,28328,15886,18,0,0,1380.507,2842707542
4481,4608,1,80,1249,0,25528,14689,18,0,0,1380.507,2842707542
11427,11596,1,29,1039,0,21725,11804,18,0,0,1380.507,2842707542
2593,2947,1,9,1408,0,25859,16108,18,0,0,1380.507,2842707542
